quarter,ratings_sum,reviews_count
2011Q4,2.0,1
2012Q4,4.5,2
2013Q4,3.5,2
2014Q4,3.6666666666666665,12
2015Q4,4.2,10
2016Q4,4.103448275862069,29
2017Q4,4.329545454545454,88
2018Q4,4.34020618556701,194
2019Q4,4.4879518072289155,166
2020Q4,4.52317880794702,151
2021Q4,4.496,250
2022Q4,4.4652567975830815,331
2023Q4,4.529832935560859,419
2024Q1,4.534883720930233,129
2024Q2,4.506172839506172,162
2024Q3,4.558704453441296,247
2024Q4,4.724919093851133,309
